"File","Line","Probe","Text","Event","ParentMonologue","Speaker","ResolvedSpeaker","ConversationTarget","DlgMe"
"RE_Kenshi_log_when_child_nodes.txt","43","61-IdentitySpike.mod","PACIFIER I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","0","T_ME","Pacifier","Mercenary","Pacifier"
"RE_Kenshi_log_when_child_nodes.txt","120","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Bar Thug","Barman"
"RE_Kenshi_log_when_child_nodes.txt","538","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","652","39-IdentitySpike.mod","SHOPKEEP CHILD  EV_PLAYER_TALK_TO_ME INTERJECTOR_NODE","EV_PLAYER_TALK_TO_ME","0","T_INTERJECTOR1","null","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","671","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Twitchy Bar Thug","Barman"
"RE_Kenshi_log_when_child_nodes.txt","2027","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","2407","24-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","EV_PLAYER_TALK_TO_ME","0","T_TARGET_WITH_RACE","#140805player1","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","2553","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","#140805player1","Barman"
"RE_Kenshi_log_when_child_nodes.txt","3349","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","4905","20-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1","EV_PLAYER_TALK_TO_ME","0","T_INTERJECTOR1","null","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","5008","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","#140805player1","Barman"
"RE_Kenshi_log_when_child_nodes.txt","7358","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","9040","21-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","EV_PLAYER_TALK_TO_ME","0","T_WHOLE_SQUAD","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","9143","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","10121","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","11285","19-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_IF_PLAYER ","EV_PLAYER_TALK_TO_ME","0","T_TARGET_IF_PLAYER","#140805player5","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","11514","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","12100","62-IdentitySpike.mod","SHOPKEEP TALK_TO_ME_PARENT_NODE","EV_PLAYER_TALK_TO_ME","0","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","12873","17-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME ","EV_NONE","unavailable","T_ME","Barman","#140805player5","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15062","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","de Zerka","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15109","29-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_INTERJECTOR1_AFTER_INTERJECTOR_NODE","EV_NONE","1","T_INTERJECTOR1","null","de Zerka","Ninja Guard"
"RE_Kenshi_log_when_child_nodes.txt","15184","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","#140805player1","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15232","31-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_WITH_RACE_GREENLANDER","EV_NONE","unavailable","T_TARGET_WITH_RACE","#140805player1","#140805player1","#140805player1"
"RE_Kenshi_log_when_child_nodes.txt","15252","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Pacifier","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15307","30-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_WHOLE_SQUAD ","EV_I_SEE_NEUTRAL_SQUAD","1","T_WHOLE_SQUAD","Barman","Pacifier","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15326","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Twitchy Bar Thug","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15388","27-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","EV_NONE","unavailable","T_TARGET","Twitchy Bar Thug","Twitchy Bar Thug","Twitchy Bar Thug"
"RE_Kenshi_log_when_child_nodes.txt","15407","63-IdentitySpike.mod","SHOPKEEP I_SEE_NEUTRAL_PARENT_NODE","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Mercenary","Barman"
"RE_Kenshi_log_when_child_nodes.txt","15476","26-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","EV_I_SEE_NEUTRAL_SQUAD","1","T_ME","Barman","Mercenary","Barman"
