"File","Probe","Text","CheckTags","OriginalResult","DoActions","Context","SpeakerProbe","ConditionRow","ConditionReference","LineList"
"RE_Kenshi_log_when_child_nodes.txt","(missing)","","0","0","0","0","0","0","5116","20901"
"RE_Kenshi_log_when_child_nodes.txt","161-gamedata.quack","","1008","1008","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","17-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_ME ","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","19-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_IF_PLAYER ","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","20-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_INTERJECTOR1","12","12","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","21-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_WHOLE_SQUAD","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","24-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_GREENLANDER","13","13","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","25-IdentitySpike.mod","SHOPKEEP CHILD PROBE EV_PLAYER_TALK_TO_ME SPEAKER T_TARGET_WITH_RACE_HIVE_PRINCE","12","12","0","0","0","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","26-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_ME","24","24","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","27-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET","26","26","1","1","6","0","0","0"
"RE_Kenshi_log_when_child_nodes.txt","28-IdentitySpike.mod","SHOPKEEP PROBE EV_I_SEE_NEUTRAL_SQUAD SPEAKER T_TARGET_IF_PLAYER ","5","5","1","1","6","0","0","0"
